municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua;tarifa_esgoto;atendimento;coleta;tratamento;inv_per_capita;perdas_original;desempenho
Cravinhos;Ribeirão Preto;Ribeirão Preto;   34651;  1035236; 29,876079;67,09993;150;1,32;1,07; 97,51; 91,81; 91,81;9,246243e-01; 26,21; 88,01
Indiaporã;São José do Rio Preto;Fernandópolis;    3951;    92773; 23,480891;67,06703;151;2,82;2,52; 84,60; 98,59; 98,59;8,441886e+00; -1,05;115,10
Palmares Paulista;São José do Rio Preto;Catanduva;   12730;   118360;  9,297722;67,02812;152;2,55;2,32; 84,89;100,00;100,00;2,184479e+01;  7,44; 97,42
Assis;Marília;Assis;  102924;  3303948; 32,100851;67,02331;153;3,11;2,98; 99,98; 99,56; 99,56;2,606085e+01; 10,09;119,46
Inúbia Paulista;Presidente Prudente;Adamantina;    3933;   139899; 35,570557;67,00474;154;3,08;2,94; 88,80;100,00;100,00;1,002065e+02;  5,10; 91,62
Santa Mercedes;Presidente Prudente;Dracena;    2945;    77175; 26,205433;66,95648;155;2,79;2,50;100,00; 95,51; 95,51;2,275824e+01;  6,01; 93,23
Adamantina;Presidente Prudente;Adamantina;   35139;  1054541; 30,010558;66,87214;156;3,10;2,91;100,00; 97,37; 97,37;5,883487e+01; 11,44;110,67
Emilianópolis;Presidente Prudente;Presidente Prudente;    3197;    60725; 18,994370;66,85619;157;2,65;2,36; 90,85; 98,45; 98,45;1,028514e+01; 10,93;114,69
Guzolândia;Araçatuba;Araçatuba;    5179;    61632; 11,900367;66,79314;158;2,70;2,45; 85,51;100,00;100,00;1,809156e+01;  3,60; 93,55
Maracaí;Marília;Assis;   13981;   415247; 29,700808;66,68737;159;2,78;2,50; 92,48;100,00;100,00;1,130947e+01; 17,15;130,23
Pirapozinho;Presidente Prudente;Presidente Prudente;   27021;   962053; 35,603901;66,67914;160;3,01;2,91; 96,78; 97,09; 97,09;3,305353e+01;  4,44;102,62
Piquerobi;Presidente Prudente;Presidente Prudente;    3693;    54210; 14,679123;66,64272;161;2,72;2,42; 79,16;100,00;100,00;2,858812e+01; -7,32; 87,01
Monte Aprazível;São José do Rio Preto;São José do Rio Preto;   24393;   724490; 29,700734;66,59986;162;2,84;2,59; 91,68; 95,07; 95,07;2,599720e+01;  4,11;107,18
Guará;Franca;Franca;   21081;   422381; 20,036099;66,56558;163;2,19;2,17;100,00; 99,97; 99,97;8,818672e+00; 25,43; 97,13
Alto Alegre;Araçatuba;Araçatuba;    4154;   110458; 26,590756;66,55448;164;2,70;2,38; 82,09;100,00;100,00;2,095178e+01;  2,15; 87,53
Cristais Paulista;Franca;Franca;    8424;   195654; 23,225783;66,54982;165;0,65;0,45; 71,85; 87,92; 87,92;3,805175e+01; 26,87; 72,03
Buritama;Araçatuba;Araçatuba;   16841;   604101; 35,870851;66,54845;166;2,02;1,86;100,00; 81,06; 81,06;3,134456e+01; 11,44;109,62
Sales;São José do Rio Preto;Catanduva;    6144;   142344; 23,167969;66,51617;167;1,07;1,36; 90,02; 97,52; 95,25;0,000000e+00; 34,96;107,35
Macedônia;São José do Rio Preto;Fernandópolis;    3736;    76026; 20,349572;66,48582;168;2,68;2,41; 79,45;100,00;100,00;8,205035e+00; -5,48; 98,24
Cajuru;Ribeirão Preto;Ribeirão Preto;   25655;   575023; 22,413682;66,46933;169;2,81;2,48; 90,81; 95,79; 95,79;8,651643e+01;  8,37; 81,47
Batatais;Franca;Franca;   61480;  1479439; 24,063744;66,40185;170;0,97;0,46; 88,44; 78,09; 78,09;3,351939e+00; 18,77; 96,30
Arco-Íris;Marília;Tupã;    1856;    47754; 25,729526;66,39474;171;2,66;2,34; 65,82;100,00;100,00;2,611275e+01; -9,98;112,16
Caiabu;Presidente Prudente;Presidente Prudente;    4211;    60597; 14,390169;66,36893;172;2,67;2,39; 85,16; 93,13; 93,13;7,592315e+01; -3,34; 74,07
Itápolis;Região Administrativa Central;Araraquara;   42747;  1373099; 32,121529;66,36530;173;1,47;1,46;100,00; 85,00; 85,00;2,628747e+00; 20,31;100,48
Lucianópolis;Bauru;Bauru;    2381;    48799; 20,495170;66,29301;174;2,93;2,61; 81,68; 99,09; 99,09;6,032914e-01; -3,16;127,90
Nova Luzitânia;Araçatuba;Araçatuba;    3953;    46502; 11,763724;66,27859;175;2,72;2,42; 78,64; 96,10; 96,10;4,448163e+01; -1,31; 91,74
Itobi;Campinas;São João da Boa Vista;    7853;   123341; 15,706227;66,27830;176;2,78;2,48; 90,54; 93,82; 93,82;1,271825e+02;  8,36; 73,03
Gabriel Monteiro;Araçatuba;Araçatuba;    2791;    75607; 27,089574;66,26184;177;2,80;2,52; 96,51;100,00;100,00;2,534462e+01; 13,50; 88,71
São João da Boa Vista;Campinas;São João da Boa Vista;   90089;  2923319; 32,449234;66,25254;178;3,07;2,74;100,00; 95,99; 95,99;2,732953e+01; 13,05;119,20
Dois Córregos;Bauru;Jaú;   26891;   653858; 24,315124;66,20560;179;1,48;1,50; 94,64; 99,15; 99,15;1,785420e+00; 41,12;110,51
Bocaina;Bauru;Jaú;   12040;   225211; 18,705233;66,19827;180;2,81;2,47;100,00; 98,94; 98,94;2,787962e+01; 17,72; 94,50
Lavínia;Araçatuba;Andradina;   11156;   147534; 13,224632;66,19756;181;0,51;0,32; 48,81;100,00; 90,88;0,000000e+00;  6,26; 48,90
Sebastianópolis do Sul;São José do Rio Preto;Votuporanga;    3411;   311501; 91,322486;66,19308;182;3,05;2,86; 83,60;100,00;100,00;2,600094e+01; -3,68;101,39
Ouro Verde;Presidente Prudente;Dracena;    8440;   114298; 13,542417;66,16231;183;0,24;0,29; 92,00; 71,43; 71,43;0,000000e+00; 18,33; 86,77
Pereiras;Sorocaba;Botucatu;    8410;   198021; 23,545898;66,13123;184;2,29;1,99; 78,24;100,00; 93,95;5,868712e+01;  7,96; 66,65
Nova Europa;Região Administrativa Central;Araraquara;   10755;   303797; 28,247048;66,12867;185;0,26;0,22; 92,74; 82,80; 82,34;6,248270e+00; 40,32; 79,42
Salmourão;Presidente Prudente;Adamantina;    5222;    70943; 13,585408;66,11797;186;2,81;2,51; 86,91;100,00;100,00;1,242752e+01;  3,97; 89,86
Santa Rosa de Viterbo;Ribeirão Preto;Ribeirão Preto;   26067;   768791; 29,492884;66,09447;187;2,78;2,47; 96,57; 98,24; 98,24;2,453513e+01; 10,64; 82,34
Colômbia;Barretos;Barretos;    6225;   358220; 57,545382;66,08931;188;2,69;2,36; 95,47; 98,99; 98,99;3,021571e+01;  9,46; 64,69
Turiúba;Araçatuba;Araçatuba;    2016;    47044; 23,335317;66,07475;189;2,85;2,54; 80,17;100,00;100,00;1,040055e+01;  0,15; 99,09
Coroados;Araçatuba;Araçatuba;    5885;   161861; 27,503993;66,05105;190;2,71;2,42; 87,29; 95,03; 95,03;3,910106e+01;  4,24; 86,57
Itirapuã;Franca;Franca;    6405;    78283; 12,222170;65,99176;191;2,76;2,41; 87,23; 94,63; 94,63;1,422713e+01;  2,16;100,18
Lucélia;Presidente Prudente;Adamantina;   21461;   428339; 19,958949;65,97804;192;2,92;2,66; 89,86;100,00;100,00;2,326689e+01; 11,07;104,94
Avaré;Sorocaba;Avaré;   89479;  2621040; 29,292236;65,92617;193;3,08;2,93; 99,11; 99,91; 99,91;5,221779e+01; 20,43;112,86
Ilha Solteira;Araçatuba;Andradina;   26540;   627436; 23,641145;65,91028;194;0,83;0,81;100,00; 76,22; 76,22;5,505898e+00; 19,52; 72,20
União Paulista;São José do Rio Preto;São José do Rio Preto;    1793;    49113; 27,391523;65,87532;195;2,87;2,57; 78,44;100,00;100,00;2,119935e+01; -7,06; 91,36
Paulo de Faria;São José do Rio Preto;São José do Rio Preto;    8953;   261240; 29,179046;65,85981;196;2,75;2,47; 88,25; 97,45; 97,45;4,304648e+01;  5,88; 74,67
Bento de Abreu;Araçatuba;Araçatuba;    2925;   169771; 58,041368;65,84421;197;2,79;2,49; 92,83; 99,70; 99,70;2,724656e+01; 14,59; 91,76
Altair;Barretos;Barretos;    4109;   210081; 51,127038;65,84227;198;2,80;2,48; 81,16; 98,64; 98,64;4,088756e+01; -6,41; 71,03
Campina do Monte Alegre;Itapeva;Itapeva;    5963;   105998; 17,775952;65,82444;199;2,77;2,48; 89,88; 95,15; 95,15;1,409155e+01; -3,35; 83,38
Guariba;Ribeirão Preto;Ribeirão Preto;   39216;   889457; 22,680972;65,79153;200;2,69;2,41; 98,28; 98,41; 98,41;2,033403e+01; 20,31; 99,18
Echaporã;Marília;Marília;    6247;   128090; 20,504242;65,69098;201;2,76;2,45; 97,92; 99,31; 99,31;1,178815e+00; 13,53;100,01
Silveiras;São José dos Campos;Cruzeiro;    6228;    67360; 10,815671;65,68086;202;2,74;2,43; 63,94; 90,58; 90,58;3,544595e+02; -5,47; 61,71
Capão Bonito;Itapeva;Itapeva;   47463;   814415; 17,158945;65,62388;203;2,85;2,58; 88,76; 92,13; 92,13;4,541634e+01;  6,40;105,82
Presidente Prudente;Presidente Prudente;Presidente Prudente;  225271;  7806813; 34,655206;65,60932;204;3,14;2,97;100,00;100,00;100,00;4,233689e+01; 17,77;104,21
Paraíso;São José do Rio Preto;Catanduva;    6369;   231582; 36,360810;65,59964;205;0,82;0,56; 87,96; 88,53; 88,53;6,024801e+00; 40,35; 90,57
Taciba;Presidente Prudente;Presidente Prudente;    6193;   152074; 24,555789;65,57752;206;3,10;2,96; 95,58; 99,91; 99,91;3,824463e+01; 10,12; 90,15
Brejo Alegre;Araçatuba;Araçatuba;    2812;   193425; 68,785562;65,51503;207;2,74;2,41; 92,33; 84,99; 84,99;3,405262e+01;  4,09;118,04
Marinópolis;São José do Rio Preto;Jales;    2140;    34589; 16,163084;65,51125;208;2,84;2,54; 81,58;100,00;100,00;1,266606e+01;  3,89; 93,24
Santo Expedito;Presidente Prudente;Presidente Prudente;    3057;    38100; 12,463199;65,47636;209;2,80;2,55; 92,48; 87,21; 87,21;9,440838e+01;  3,94; 85,89
Taquarituba;Itapeva;Itapeva;   23240;   650632; 27,996213;65,44578;210;3,27;3,40; 95,62; 99,99; 99,99;1,809137e+01;  5,56;111,42
Piratininga;Bauru;Bauru;   13335;   217591; 16,317285;65,43413;211;2,96;2,69; 88,93; 90,88; 90,88;3,946468e+01;  2,44;107,73
Peruíbe;Santos;Santos;   66572;  1346872; 20,231809;65,43211;212;3,29;3,31; 96,66; 90,44; 90,44;3,588330e+02; 10,32; 67,35
Roseira;São José dos Campos;Guaratinguetá;   10512;   283507; 26,969844;65,36773;213;2,75;2,40; 93,20; 95,05; 95,05;5,661460e+01; 16,78; 90,49
Lutécia;Marília;Assis;    2705;    92409; 34,162292;65,33811;214;2,93;2,62; 91,36;100,00;100,00;2,605016e+01;  9,40; 79,02
Piraju;Itapeva;Itapeva;   29790;   700235; 23,505707;65,28333;215;2,91;2,59; 96,50; 96,84; 92,97;7,667161e+01; 20,40; 99,50
Óleo;Marília;Ourinhos;    2583;    88221; 34,154472;65,27508;216;2,84;2,50; 88,38; 90,36; 90,36;2,580868e+02; 18,03; 77,63
Fernão;Marília;Marília;    1691;    46064; 27,240686;65,26830;217;2,91;2,60; 59,21;100,00;100,00;1,134893e+02; -9,75; 89,14
Glicério;Araçatuba;Araçatuba;    4800;    97062; 20,221250;65,25496;218;2,73;2,43; 66,28; 99,93; 99,93;2,173578e+01;  5,15;114,80
Alvinlândia;Marília;Marília;    3196;    63814; 19,966834;65,24737;219;2,62;2,33; 91,92; 99,00; 99,00;1,447516e+01;  8,94; 62,05
Areiópolis;Sorocaba;Botucatu;   11107;   134784; 12,135050;65,18011;220;2,67;2,38; 96,19; 95,60; 95,60;2,412430e+01; 15,02; 83,97
Cruzália;Marília;Assis;    2161;   131219; 60,721425;65,17025;221;2,81;2,50; 89,43;100,00;100,00;4,373471e+00; 13,84;106,00
Presidente Bernardes;Presidente Prudente;Presidente Prudente;   13420;   253922; 18,921162;65,15489;222;2,94;2,66; 86,11; 92,17; 92,17;2,413653e+01; -4,10;101,96
Pereira Barreto;Araçatuba;Andradina;   25790;   817570; 31,701047;65,12221;223;1,19;1,33; 93,06; 80,00; 80,00;2,180203e+00; 22,53;108,54
São José da Bela Vista;Franca;Franca;    8885;   161031; 18,123917;65,11723;224;0,33;0,40; 95,06; 79,12; 79,12;0,000000e+00; 40,71; 99,90
Flórida Paulista;Presidente Prudente;Adamantina;   14282;   196744; 13,775662;65,10446;225;2,74;2,48; 71,61;100,00;100,00;1,948484e+01;  7,39;109,11
Lupércio;Marília;Marília;    4573;    69516; 15,201400;65,06261;226;2,67;2,38; 89,67; 97,32; 97,32;1,726703e+01;  9,30; 75,93
Altinópolis;Ribeirão Preto;Ribeirão Preto;   16219;   526939; 32,488994;65,05269;227;0,72;0,56; 87,37; 82,15; 82,15;2,490100e+01; 31,69; 62,58
Miguelópolis;Franca;Franca;   21973;  1121079; 51,020753;64,99612;228;2,49;2,23; 83,47;100,00;100,00;2,852156e+01; 18,16; 83,09
Santos;Santos;Santos;  434742; 22532672; 51,829987;64,98965;229;3,92;3,98;100,00; 97,64; 97,64;4,652044e+01;  6,99;143,74
Cesário Lange;Sorocaba;Itapetininga;   17587;   419188; 23,835105;64,92339;230;2,94;2,60; 84,48; 78,45; 78,45;4,461777e+02;  3,76; 68,24
Rubinéia;São José do Rio Preto;Jales;    3102;    81574; 26,297228;64,90338;231;2,76;2,39;100,00; 78,41; 78,41;4,288806e+01; -6,95;101,12
Parisi;São José do Rio Preto;Votuporanga;    2150;    48813; 22,703721;64,78008;232;1,51;1,22; 80,86; 79,62; 79,62;0,000000e+00; 14,20;128,63
Platina;Marília;Assis;    3488;    90806; 26,033830;64,77938;233;2,68;2,39; 74,35;100,00;100,00;4,408350e-01;  2,76; 99,86
Patrocínio Paulista;Franca;Franca;   14351;   900987; 62,782175;64,75560;234;0,82;0,84;100,00; 79,72; 79,72;0,000000e+00; 29,13; 79,11
Boracéia;Bauru;Jaú;    4717;   279209; 59,192071;64,74892;235;3,14;2,93;100,00;100,00;100,00;2,567820e+01; 19,43;100,33
Iracemápolis;Campinas;Limeira;   23264;  1309627; 56,294145;64,74429;236;1,99;1,50; 98,97;100,00;100,00;0,000000e+00; 48,32;121,78
Mococa;Campinas;São João da Boa Vista;   68994;  2228392; 32,298345;64,72211;237;2,87;2,55; 98,23; 93,18; 93,18;3,982715e+01; 17,53; 96,54
Valinhos;Campinas;Campinas;  124024;  5734500; 46,237019;64,70791;238;2,83;2,92; 93,10;100,00;100,00;4,223441e+01; 23,04;104,23
Itajobi;São José do Rio Preto;Catanduva;   15246;  1191836; 78,173685;64,68571;239;1,62;1,55;100,00; 80,00; 76,80;0,000000e+00; 33,03;164,26
Icém;São José do Rio Preto;São José do Rio Preto;    8112;   179057; 22,073102;64,67932;240;2,67;2,36; 91,33; 91,43; 91,43;1,378422e+01;  2,52; 74,14
Pindamonhangaba;São José dos Campos;Taubaté;  164000;  7003490; 42,704207;64,66547;241;3,00;2,68;100,00; 93,71; 93,71;5,353826e+01; 21,35;104,99
Restinga;Franca;Franca;    7384;   166543; 22,554577;64,64898;242;2,74;2,51; 91,48; 97,35; 97,35;1,789640e+01;  8,90; 69,20
Santo Antônio da Alegria;Ribeirão Preto;Ribeirão Preto;    6829;   145308; 21,278079;64,62389;243;0,89;0,63;100,00; 86,05; 82,33;0,000000e+00; 51,11;120,68
Pedrinhas Paulista;Marília;Assis;    3087;   150809; 48,852932;64,61753;244;2,99;2,65; 88,27;100,00;100,00;4,590178e+00; 11,92;105,41
Botucatu;Sorocaba;Botucatu;  142546;  4290669; 30,100241;64,57372;245;3,08;2,78;100,00; 92,56; 92,56;9,928806e+01; 23,66;105,87
Castilho;Araçatuba;Andradina;   20362;  1001129; 49,166536;64,53990;246;3,30;3,05; 74,71; 98,53; 98,53;1,280722e+02; 18,63;135,12
Rifaina;Franca;Franca;    3618;   111766; 30,891653;64,48563;247;2,96;2,62; 85,93; 92,19; 92,19;8,562492e+01;  1,21; 61,01
Ocauçu;Marília;Marília;    4308;   124606; 28,924327;64,48122;248;0,71;0,40; 79,85; 83,48; 83,48;2,905980e+01; 39,68; 79,98
Jaborandi;Barretos;Barretos;    6917;   142101; 20,543733;64,47938;249;2,64;2,32; 81,62;100,00;100,00;2,234399e+01; 12,62; 73,88
Borborema;Região Administrativa Central;Araraquara;   15791;   409114; 25,908049;64,47408;250;1,68;1,32; 90,13; 87,00; 87,00;7,786493e+00; 33,75;116,86
Gavião Peixoto;Região Administrativa Central;Araraquara;    4739;   839815;177,213547;64,46273;251;0,64;0,62;100,00; 61,86; 61,86;6,370433e+00; 50,00;199,89
Nhandeara;São José do Rio Preto;Votuporanga;   11398;   318012; 27,900684;64,44253;252;2,93;2,80; 86,03; 97,51; 97,51;3,596837e+01;  3,93; 70,11
Taguaí;Itapeva;Itapeva;   13111;   225749; 17,218290;64,44169;253;2,78;2,47; 87,62; 89,95; 89,95;8,487894e+00; -0,08; 93,55
Votuporanga;São José do Rio Preto;Votuporanga;   92768;  2808057; 30,269673;64,43050;254;2,68;3,10;100,00; 79,82; 79,82;3,374984e+01; 11,51;152,51
Sandovalina;Presidente Prudente;Presidente Prudente;    4174;   396791; 95,062530;64,41143;255;2,76;2,50; 72,03;100,00;100,00;2,350927e+01;  6,04; 87,79
Taubaté;São José dos Campos;Taubaté;  307953; 16799723; 54,552880;64,38124;256;3,21;2,81;100,00; 95,78; 95,78;3,175360e+01; 26,01;130,86
Luís Antônio;Ribeirão Preto;Ribeirão Preto;   14021;  1323520; 94,395550;64,33746;257;0,14;0,14; 88,40; 74,62; 74,62;9,060121e+00; 25,41; 32,84
Oscar Bressane;Marília;Marília;    2616;    83957; 32,093654;64,33433;258;2,89;2,66; 87,32;100,00;100,00;1,740561e+00; 10,41; 98,48
Timburi;Marília;Ourinhos;    2690;    47738; 17,746468;64,31546;259;2,84;2,55; 69,66;100,00;100,00;6,338793e+01; -3,52; 55,75
Martinópolis;Presidente Prudente;Presidente Prudente;   26123;   462852; 17,718179;64,25210;260;1,01;1,01;100,00; 80,31; 80,31;6,455742e-02; 34,05; 95,98
Agudos;Bauru;Bauru;   36880;  2063022; 55,938774;64,24658;261;3,36;0,00;100,00; 91,11; 65,67;1,009939e+02; 20,14; 60,34
Elisiário;São José do Rio Preto;Catanduva;    3537;    67898; 19,196494;64,24175;262;1,40;1,55; 91,59; 88,67; 88,67;0,000000e+00; 26,63; 91,80
Aparecida d'Oeste;São José do Rio Preto;Jales;    4329;   125464; 28,982213;64,14840;263;3,40;3,74; 89,16; 95,91; 95,91;3,782802e+01;  4,65;126,06
São Manuel;Sorocaba;Botucatu;   40692;  1104715; 27,148211;64,14153;264;2,88;2,59; 99,90; 92,89; 92,89;3,910274e+01; 23,92;105,30
Manduri;Sorocaba;Avaré;    9714;   209533; 21,570208;64,11547;265;1,04;1,02; 86,49; 71,56; 71,56;0,000000e+00; 26,67;153,06
Engenheiro Coelho;Campinas;Campinas;   19497;   596633; 30,601272;64,07261;266;1,46;1,12; 73,14; 97,02; 97,02;0,000000e+00; 33,66;101,42
Pirangi;Barretos;Barretos;   11323;   296223; 26,161176;64,06988;267;1,75;1,47;100,00; 95,33; 95,33;3,164408e+00; 36,66; 65,57
Terra Roxa;Barretos;Barretos;    9227;   147580; 15,994364;64,04847;268;2,78;2,47; 82,78;100,00;100,00;2,417237e+01; 16,84; 87,27
Pedregulho;Franca;Franca;   16645;   973303; 58,474196;63,99481;269;2,81;2,49; 78,35; 94,13; 94,13;7,816074e+01;  8,07; 73,68
Jaboticabal;Ribeirão Preto;Ribeirão Preto;   76563;  2752005; 35,944320;63,95311;270;1,84;1,76; 97,63; 94,04; 90,80;2,006171e+00; 37,85;107,07
Torrinha;Campinas;Rio Claro;    9934;   213334; 21,475136;63,94467;271;2,91;2,78; 91,98; 98,38; 98,38;4,338111e+01; 22,09; 93,98
Pratânia;Sorocaba;Botucatu;    5126;   112344; 21,916504;63,91230;272;2,76;2,48; 91,54; 95,95; 95,95;2,020885e+01; 21,81;101,63
Mira Estrela;São José do Rio Preto;Fernandópolis;    3045;    66657; 21,890640;63,90158;273;2,81;2,58; 62,69;100,00;100,00;9,112723e+00; -2,44;100,04
Ubarana;São José do Rio Preto;São José do Rio Preto;    6080;   349317; 57,453454;63,85154;274;0,60;0,60; 96,46; 70,00; 70,00;4,938222e+00; 24,83; 69,96
Santa Cruz da Esperança;Ribeirão Preto;Ribeirão Preto;    2110;    55604; 26,352607;63,82099;275;2,76;2,43; 83,00; 96,46; 96,46;2,180622e+01;  6,00; 63,63
Orindiúva;São José do Rio Preto;São José do Rio Preto;    6731;   438061; 65,081117;63,81396;276;2,93;2,78; 86,10; 88,80; 88,80;5,805098e+01;  6,73; 99,20
Morro Agudo;Franca;São Joaquim da Barra;   32220;  1328960; 41,246431;63,79487;277;0,84;0,87;100,00; 90,00; 90,00;0,000000e+00; 49,19; 74,21
Jaguariúna;Campinas;Campinas;   54204; 11346028;209,320862;63,78954;278;1,78;1,64; 97,11; 88,95; 76,35;1,017563e+01; 26,95; 99,50
Porto Feliz;Sorocaba;Sorocaba;   52507;  1926483; 36,690022;63,75411;279;2,96;2,76;100,00; 99,78; 80,05;1,081030e+02; 27,85;106,91
Álvaro de Carvalho;Marília;Marília;    5119;    49483;  9,666536;63,75001;280;2,70;2,40; 62,85;100,00;100,00;1,806577e+01;  3,31; 86,18
Mongaguá;Santos;Santos;   54257;   986035; 18,173415;63,69948;281;3,15;3,09; 92,11; 87,26; 87,26;2,308390e+02;  9,69; 68,49
Americana;Campinas;Campinas;  233868; 10382873; 44,396296;63,68274;282;2,04;2,27;100,00;100,00; 64,56;5,117240e+01; 29,50;110,11
Limeira;Campinas;Limeira;  300911; 12154751; 40,393176;63,65767;283;3,96;4,15; 97,02;100,00;100,00;1,393262e+02; 13,41;106,33
Lagoinha;São José dos Campos;Taubaté;    4943;    54614; 11,048756;63,65487;284;2,57;2,24; 64,33;100,00;100,00;2,080174e+01;  1,50; 59,47
Ubirajara;Bauru;Bauru;    4734;    89199; 18,842205;63,62384;285;2,87;2,59; 76,38; 86,41; 86,41;8,283685e+01; -3,41; 89,62
Pederneiras;Bauru;Bauru;   45708;  1723581; 37,708519;63,62292;286;3,01;2,76; 98,94; 94,99; 94,99;3,324941e+01; 24,67;105,07
Igarapava;Franca;Franca;   30073;  1076232; 35,787318;63,59885;287;2,92;2,62; 94,17; 94,39; 94,39;2,114129e+01; 17,18; 93,58
Santa Cruz do Rio Pardo;Marília;Ourinhos;   47148;  2042409; 43,319102;63,49736;288;3,04;2,79; 99,77; 95,37; 95,37;5,007020e+01; 31,39;113,97
Águas da Prata;Campinas;São João da Boa Vista;    8104;   153773; 18,974951;63,48106;289;2,81;2,47; 94,51; 95,61; 93,07;9,092296e+01; 21,90; 59,91
Sarutaiá;Itapeva;Itapeva;    3681;    64780; 17,598479;63,48008;290;2,74;2,49; 88,86; 89,23; 89,23;3,563741e-01; -3,02; 89,34
Itaí;Itapeva;Itapeva;   26526;   587796; 22,159240;63,46459;291;2,79;2,51; 67,65; 98,15; 98,15;3,079592e+01;  6,05; 86,01
Pedranópolis;São José do Rio Preto;Fernandópolis;    2547;    63904; 25,089910;63,43626;292;2,72;2,44; 77,27; 95,11; 95,11;7,394422e+00; -1,58; 69,99
Bernardino de Campos;Marília;Ourinhos;   11180;   236668; 21,168873;63,43279;293;3,10;3,09; 92,05;100,00;100,00;5,128918e+00; 11,55; 91,95
Palestina;São José do Rio Preto;São José do Rio Preto;   12542;   398720; 31,790783;63,43127;294;3,25;2,88; 82,31; 85,92; 80,15;8,597384e+01;  4,61;131,62
Paulistânia;Bauru;Bauru;    1841;    36487; 19,819120;63,30574;295;2,86;2,55; 67,25;100,00;100,00;5,158227e+01;  4,87; 63,59
Cássia dos Coqueiros;Ribeirão Preto;Ribeirão Preto;    2591;   139851; 53,975685;63,22487;296;2,92;2,53; 81,94; 91,78; 91,78;4,378111e+01;  5,44; 74,37
Santa Rita d'Oeste;São José do Rio Preto;Jales;    2544;    56605; 22,250393;63,21559;297;0,70;0,23; 72,55; 94,93; 94,93;1,646215e+00; 50,44; 70,28
Jaú;Bauru;Jaú;  146338;  4560371; 31,163273;63,19628;298;2,61;2,79; 96,89;100,00;100,00;6,579154e+01; 35,73; 77,82
Onda Verde;São José do Rio Preto;São José do Rio Preto;    4286;   122671; 28,621325;63,18806;299;3,05;2,95; 98,04; 90,99; 90,99;1,566785e+01;  7,87; 85,93
Dourado;Região Administrativa Central;São Carlos;    8909;   595049; 66,791896;63,18217;300;2,85;2,55; 97,88; 99,50; 99,50;1,687692e+01; 26,06; 75,35
Buritizal;Franca;Franca;    4408;   178048; 40,392015;63,11219;301;2,81;2,50; 81,72;100,00;100,00;1,534901e+01; 12,88; 67,10
Espírito Santo do Turvo;Marília;Ourinhos;    4713;    71536; 15,178443;63,06057;302;2,88;2,57; 83,05; 99,31; 99,31;1,058752e+01; 19,21; 98,00
Euclides da Cunha Paulista;Presidente Prudente;Presidente Prudente;    9559;   109935; 11,500680;63,01474;303;2,83;2,49; 67,94; 96,36; 96,36;9,567850e+00;  5,26;101,03
