municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua;tarifa_esgoto;atendimento;coleta;tratamento;inv_per_capita;perdas_original;desempenho
Itatinga;Sorocaba;Botucatu;   20158;   311156; 15,435857;62,98624;304;2,78;2,50; 83,36; 98,54; 98,54;3,382112e+01; 25,67; 95,37
Avaí;Bauru;Bauru;    5337;   263902; 49,447630;62,98246;305;3,00;2,75; 62,47; 97,99; 97,99;1,154785e+01; -0,03;105,17
Taquaritinga;Região Administrativa Central;Araraquara;   56951;  1469101; 25,795877;62,89537;306;1,50;1,63; 94,78; 80,00; 80,00;6,497122e+00; 24,41; 83,21
Mirassol;São José do Rio Preto;São José do Rio Preto;   58760;  1956637; 33,298792;62,89369;307;3,19;3,20; 95,89; 90,69; 72,55;1,788949e+02; 15,33;109,17
Elias Fausto;Campinas;Piracicaba;   17393;   632336; 36,355775;62,88806;308;3,05;2,82; 83,16;100,00;100,00;4,112819e+01;  9,92; 55,63
Espírito Santo do Pinhal;Campinas;São João da Boa Vista;   44170;  1259012; 28,503781;62,88483;309;2,96;2,62; 88,11; 94,38; 94,38;4,096580e+01; 18,25; 87,23
Leme;Campinas;Limeira;  101184;  2978265; 29,434150;62,77175;310;2,62;2,39; 97,94; 98,32; 98,32;2,651982e+01; 49,84;126,85
Balbinos;Bauru;Bauru;    5188;    54394; 10,484580;62,73643;311;2,65;2,27; 32,18; 99,32; 99,32;5,258497e+01; -5,11;108,62
Guaraçaí;Araçatuba;Andradina;    8466;   228993; 27,048547;62,66914;312;1,78;1,60; 78,88; 84,03; 84,03;4,198728e+00; 18,15; 93,71
Buri;Itapeva;Itapeva;   19737;   368506; 18,670821;62,58544;313;2,81;2,48; 85,45; 86,08; 86,08;2,690883e+01;  7,43; 91,06
Santa Rita do Passa Quatro;Região Administrativa Central;São Carlos;   27590;   641179; 23,239543;62,44899;314;1,71;1,12;100,00; 79,76; 34,82;5,508021e+01; 15,16;102,60
Chavantes;Marília;Ourinhos;   12487;   211527; 16,939777;62,35286;315;1,18;0,69; 92,15; 89,60; 89,60;0,000000e+00; 49,36; 75,98
Várzea Paulista;Campinas;Jundiaí;  118917;  2658620; 22,356938;62,28596;316;2,87;2,61; 93,98; 99,09; 99,09;2,708425e+01; 27,16; 68,26
Fartura;Itapeva;Itapeva;   16028;   388647; 24,248003;62,28079;317;2,96;2,67; 88,80; 93,99; 93,99;5,209883e+00; 16,00; 98,58
São José dos Campos;São José dos Campos;São José dos Campos;  703219; 39829404; 56,638692;62,24624;318;3,03;2,81;100,00; 94,16; 94,15;2,236252e+01; 29,32;103,71
Águas de Lindóia;Campinas;Bragança Paulista;   18509;   472984; 25,554271;62,20972;319;2,17;2,42; 99,10;100,00; 60,91;2,722268e+01; 21,67; 91,27
Lorena;São José dos Campos;Guaratinguetá;   87980;  2439667; 27,729791;62,20403;320;2,94;2,67;100,00; 92,79; 92,79;2,511279e+01; 31,75;106,03
Bananal;São José dos Campos;Cruzeiro;   10867;   202204; 18,607159;62,14641;321;2,77;2,44; 77,61; 87,28; 87,28;3,397720e+01;  0,16; 63,92
Sertãozinho;Ribeirão Preto;Ribeirão Preto;  122643;  5362996; 43,728513;62,06436;322;1,33;1,34; 99,64; 80,00; 80,00;5,728516e+00; 37,55; 78,02
Arandu;Itapeva;Itapeva;    6368;   119198; 18,718279;61,96565;323;2,92;2,58; 65,53;100,00;100,00;4,280948e+01; 23,10;109,16
Itaberá;Itapeva;Itapeva;   17879;   535071; 29,927345;61,86654;324;2,80;2,48; 75,12; 88,01; 88,01;3,087788e+01;  7,28; 89,35
Pirajuí;Bauru;Bauru;   24973;   450364; 18,034037;61,85818;325;1,00;0,76; 99,45; 86,38; 31,67;2,507298e+00; 26,56;113,50
Itapura;Araçatuba;Andradina;    4802;   101885; 21,217201;61,82369;326;1,58;0,88; 77,37; 78,12; 78,12;2,487037e+00; 12,14; 55,38
Arealva;Bauru;Bauru;    8452;   213435; 25,252603;61,80543;327;2,79;2,46; 69,17; 89,46; 89,46;3,259552e+01;  3,46; 80,99
Arapeí;São José dos Campos;Cruzeiro;    2509;    29090; 11,594261;61,79732;328;2,74;2,42; 84,71; 86,27; 86,27;3,532514e+01;-13,40; 39,84
Registro;Registro;Registro;   56430;  1950928; 34,572532;61,75431;329;3,45;3,50; 96,49; 91,44; 91,44;4,979686e+01; 15,14;101,30
Bofete;Sorocaba;Botucatu;   11236;   164471; 14,637860;61,73493;330;2,75;2,45; 59,47; 93,13; 93,13;3,788314e+01;  0,04; 68,88
Praia Grande;Santos;Santos;  310024;  6688614; 21,574504;61,69358;331;3,08;3,11; 91,27; 68,68; 68,68;2,261511e+02; -5,09; 92,15
Orlândia;Franca;São Joaquim da Barra;   43306;  1781347; 41,133954;61,69191;332;1,55;1,58; 98,50;100,00; 93,75;2,690006e+01; 64,44; 74,91
Serra Negra;Campinas;Bragança Paulista;   28742;   720861; 25,080405;61,68166;333;3,04;2,78; 78,30; 81,27; 81,27;1,953596e+02;  4,41; 66,86
Mineiros do Tietê;Bauru;Jaú;   12812;   183029; 14,285748;61,64234;334;2,78;2,80; 95,53; 79,60; 79,60;1,166190e+01; 15,21;128,88
Gália;Marília;Marília;    6776;   137857; 20,344894;61,62791;335;2,77;2,50; 80,62;100,00;100,00;1,287970e+01; 27,76; 88,80
Hortolândia;Campinas;Campinas;  222186; 12928628; 58,188311;61,54108;336;3,04;3,00;100,00; 83,44; 83,44;1,866761e+01; 20,40;126,38
Piracicaba;Campinas;Piracicaba;  397322; 21896872; 55,111149;61,49922;337;3,85;3,95;100,00;100,00;100,00;2,261063e+02; 47,17;129,28
Cerquilho;Sorocaba;Itapetininga;   46733;  1743257; 37,302484;61,49508;338;2,27;2,32; 91,27; 82,66; 82,66;1,884856e+01; 28,57;115,00
Itu;Sorocaba;Sorocaba;  170157;  7572821; 44,504904;61,48216;339;2,47;2,40;100,00; 89,66; 89,66;2,339589e+01; 41,38;107,21
Motuca;Região Administrativa Central;Araraquara;    4676;    87132; 18,633875;61,46858;340;0,34;0,41;100,00; 76,75; 53,35;0,000000e+00; 29,69; 48,65
Ribeirão Corrente;Franca;Franca;    4644;    86851; 18,701766;61,45421;341;2,84;2,53; 77,62; 99,55; 99,55;5,145273e+00; 17,57; 75,43
Cachoeira Paulista;São José dos Campos;Guaratinguetá;   32773;   591381; 18,044762;61,40774;342;3,08;2,60; 95,06; 84,73; 84,73;3,799218e+01; 12,89; 77,38
Vinhedo;Campinas;Campinas;   75129;  8729936;116,199284;61,15518;343;3,46;3,08; 92,02; 88,54; 88,54;9,386987e+01; 26,06;116,48
Ribeirão do Sul;Marília;Ourinhos;    4571;   141944; 31,053161;61,15211;344;2,75;2,47; 76,75; 93,95; 93,95;7,158829e+00; 17,51; 90,79
Canas;São José dos Campos;Guaratinguetá;    4975;   256730; 51,604020;61,09817;345;2,87;2,45; 93,24; 78,64; 78,64;4,954915e+01; 14,37; 90,06
Macatuba;Bauru;Bauru;   17111;   608514; 35,562737;61,08034;346;2,39;1,95; 97,03;100,00; 80,00;0,000000e+00; 45,91;131,87
São Sebastião da Grama;Campinas;São João da Boa Vista;   12317;   326759; 26,529106;61,06741;347;2,98;2,71;100,00; 80,11; 80,11;8,797187e+01; 28,37;109,83
Itapetininga;Sorocaba;Itapetininga;  160070;  4458857; 27,855669;61,04216;348;2,93;2,66; 93,31; 86,09; 86,09;4,140684e+01; 26,26;105,00
Duartina;Bauru;Bauru;   12549;   251939; 20,076420;61,01352;349;3,74;4,38; 97,98; 99,64; 99,64;1,208622e+01;  5,24; 81,40
Nova Campina;Itapeva;Itapeva;    9504;   235565; 24,785880;61,00790;350;2,71;2,41; 54,16; 95,56; 95,56;1,580036e+01;  1,74; 72,43
Santa Gertrudes;Campinas;Rio Claro;   25637;  1571921; 61,314545;60,99535;351;2,70;2,76; 97,10; 77,35; 77,13;2,663855e+01; 15,75;107,63
Anhembi;Sorocaba;Botucatu;    6484;   154450; 23,820173;60,98649;352;2,80;2,50; 76,84;100,00;100,00;5,955522e+01; 28,76; 60,82
Itaporanga;Itapeva;Itapeva;   15165;   309107; 20,382921;60,96213;353;2,81;2,52; 83,74; 84,34; 84,34;2,030856e+01;  6,76; 74,98
Barretos;Barretos;Barretos;  120638;  4443581; 36,834008;60,94621;354;3,58;2,58;100,00; 99,50; 99,50;1,601357e+01; 35,13; 89,79
Mirante do Paranapanema;Presidente Prudente;Presidente Prudente;   18130;   412278; 22,740099;60,93845;355;2,83;2,54; 58,17; 87,90; 87,90;7,902762e+01;  4,64; 86,28
Tapiratiba;Campinas;São João da Boa Vista;   13062;   326219; 24,974659;60,90965;356;0,94;0,91; 82,47; 79,98; 64,09;0,000000e+00; 35,91;115,67
Penápolis;Araçatuba;Araçatuba;   62738;  1580120; 25,186012;60,90954;357;2,22;1,93; 95,51; 80,00; 80,00;3,889626e+01; 28,14; 72,50
Sorocaba;Sorocaba;Sorocaba;  659871; 31852858; 48,271341;60,80974;358;3,53;4,12; 98,49; 84,76; 82,42;8,890504e+01; 31,08;182,46
Araraquara;Região Administrativa Central;Araraquara;  230770;  9009108; 39,039338;60,72604;359;3,21;3,29; 96,98;100,00;100,00;8,960748e+01; 49,93;112,38
Itapuí;Bauru;Jaú;   13618;   621978; 45,673227;60,71131;360;0,98;0,61; 95,54; 84,56;  0,00;0,000000e+00;  2,90;112,71
Tatuí;Sorocaba;Itapetininga;  118939;  3841153; 32,295151;60,69183;361;3,00;2,75;100,00; 86,39; 77,01;4,283616e+01; 26,71;110,84
Mogi Guaçu;Campinas;Campinas;  149396;  5557420; 37,199256;60,62288;362;1,79;1,65; 94,94; 80,00; 60,00;2,912694e+01; 32,03;107,18
Álvares Florence;São José do Rio Preto;Votuporanga;    3795;   105911; 27,908037;60,61013;363;2,81;2,94; 67,94; 80,00; 80,00;0,000000e+00;  0,00;158,01
Murutinga do Sul;Araçatuba;Andradina;    4453;    59608; 13,386032;60,54974;364;1,11;0,94; 57,61; 65,00; 65,00;3,837886e+00;  1,64; 91,37
Lençóis Paulista;Bauru;Bauru;   67185;  2569703; 38,248166;60,47008;365;1,81;1,61; 97,76; 87,21; 75,61;2,803431e+01; 51,08;100,40
Laranjal Paulista;Sorocaba;Botucatu;   27890;  1007472; 36,123055;60,41676;366;2,91;2,56; 90,51; 93,47; 93,47;8,012943e+01; 37,90; 76,58
Américo Brasiliense;Região Administrativa Central;Araraquara;   39189;   948260; 24,197096;60,34220;367;1,28;0,79;100,00; 82,20;  0,00;1,292544e+02;  8,22; 58,32
Avanhandava;Araçatuba;Araçatuba;   13112;   428072; 32,647346;60,24103;368;1,68;1,23; 84,55; 80,00; 80,00;1,720790e+01; 36,42; 75,23
Indiana;Presidente Prudente;Presidente Prudente;    4931;    61216; 12,414520;60,21449;369;0,57;0,01; 85,53; 46,96; 46,96;0,000000e+00;  0,82; 53,28
Tremembé;São José dos Campos;Taubaté;   45904;   768606; 16,743770;60,17198;370;3,35;3,20;100,00; 81,64; 81,64;5,933575e+01; 13,83; 84,35
Morungaba;Campinas;Jundiaí;   13232;   424901; 32,111623;60,15569;371;3,36;3,51; 86,13; 98,37; 98,37;1,686906e+01; 19,03; 88,78
Paranapanema;Itapeva;Itapeva;   19730;   593650; 30,088697;59,99820;372;3,07;2,76; 70,17; 81,95; 81,95;4,623952e+01; -5,62; 86,15
Águas de São Pedro;Campinas;Piracicaba;    3268;   125146; 38,294370;59,93287;373;3,79;3,52; 97,19; 95,90; 95,90;1,485111e+02; 30,65; 70,32
Panorama;Presidente Prudente;Dracena;   15619;   270175; 17,297842;59,86468;374;1,30;1,37; 96,22; 49,94; 49,94;0,000000e+00;  0,08; 90,20
Louveira;Campinas;Jundiaí;   45922; 13805962;300,639389;59,86127;375;2,19;1,25; 96,54; 70,80; 70,80;6,616295e+01; 35,97; 79,26
Cajobi;Barretos;Barretos;   10444;   152695; 14,620356;59,85711;376;1,18;0,88;100,00;100,00;  0,00;0,000000e+00; 11,07; 90,64
Herculândia;Marília;Tupã;    9397;   302366; 32,176865;59,84932;377;0,28;0,20; 91,09; 39,50; 39,50;0,000000e+00;  0,00; 61,38
Mirandópolis;Araçatuba;Andradina;   29315;   616045; 21,014668;59,79689;378;1,20;1,07; 98,41; 80,85; 69,70;6,149153e+00; 58,40;109,93
Suzanápolis;Araçatuba;Andradina;    3836;   260620; 67,940563;59,73686;379;0,84;0,81; 66,48; 56,69; 56,69;9,204807e+00; -5,85; 63,51
Cosmópolis;Campinas;Campinas;   69086;  1575661; 22,807240;59,72212;380;1,58;1,04; 94,37; 98,31;  0,00;1,520198e+01; 30,08;167,78
Potim;São José dos Campos;Guaratinguetá;   23360;   226293;  9,687200;59,71313;381;0,54;0,91; 75,83; 79,38;  0,00;0,000000e+00; 14,97;188,20
Marabá Paulista;Presidente Prudente;Presidente Prudente;    5611;   120632; 21,499198;59,71252;382;2,85;2,54; 37,12;100,00;100,00;2,946307e+00;  0,70; 91,14
Ipeúna;Campinas;Rio Claro;    7177;   697972; 97,251219;59,66313;383;2,32;1,92; 86,07; 69,27; 69,27;3,173522e+01; 29,36;139,64
Santa Bárbara d'Oeste;Campinas;Campinas;  191889;  5494890; 28,635774;59,64925;384;2,35;2,37;100,00; 99,59; 55,39;1,898043e+02; 51,13; 94,62
Itararé;Itapeva;Itapeva;   50379;   875364; 17,375573;59,59583;385;2,76;2,43; 89,36; 93,02; 53,86;7,706171e+01; 15,12; 80,12
Pilar do Sul;Sorocaba;Sorocaba;   28718;   640684; 22,309492;59,59238;386;2,91;2,61; 88,84; 73,64; 73,64;4,278276e+01;  9,08; 90,60
Palmital;Marília;Assis;   22196;   690855; 31,125203;59,58875;387;2,02;2,00; 91,70; 73,24; 73,24;1,863829e+01; 26,70; 92,32
Santo Antônio de Posse;Campinas;Campinas;   22801;  1043905; 45,783299;59,50904;388;1,58;1,37; 99,63; 86,12; 68,89;1,267622e+01; 48,03; 77,33
Brodowski;Ribeirão Preto;Ribeirão Preto;   24092;   639372; 26,538768;59,47748;389;2,42;1,83;100,00; 84,55; 84,55;0,000000e+00; 40,91; 99,07
Bom Sucesso de Itararé;Itapeva;Itapeva;    3888;    52971; 13,624228;59,47278;390;2,78;2,45; 58,04; 95,62; 95,62;2,947352e+01; 16,20; 72,62
Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;  682302; 35315843; 51,759841;59,47170;391;3,07;3,66; 99,19;100,00; 99,03;4,688929e+00; 55,05;160,10
Garça;Marília;Marília;   44582;  1159125; 25,999843;59,45598;392;3,03;3,15; 90,90; 79,99; 79,99;7,802892e+01; 29,65;129,01
Itapeva;Itapeva;Itapeva;   93570;  2371573; 25,345442;59,44097;393;2,91;2,63; 92,06; 82,04; 79,93;3,662217e+01; 27,42;105,87
Valparaíso;Araçatuba;Araçatuba;   25632;   989934; 38,621021;59,29978;394;1,97;1,54;100,00; 80,00; 80,00;1,117680e+01; 52,06; 99,28
Jundiaí;Campinas;Jundiaí;  409497; 41227953;100,679499;59,18210;395;3,89;4,48; 99,07;100,00;100,00;4,065196e+01; 25,35; 95,86
Tietê;Sorocaba;Sorocaba;   41022;  1739795; 42,411267;59,17800;396;1,90;1,65; 90,91; 99,80; 59,88;9,932169e+00; 38,35; 78,34
Marapoama;São José do Rio Preto;Catanduva;    2949;   173054; 58,682265;59,04524;397;0,79;0,00; 97,36;100,00;  0,00;5,307076e-01; 40,00;116,99
Indaiatuba;Campinas;Campinas;  239602; 13489932; 56,301417;59,02220;398;2,99;3,25; 98,36; 85,00; 44,04;1,662449e+02; 18,80;118,64
Itatiba;Campinas;Jundiaí;  116503;  5566364; 47,778718;58,95162;399;3,19;2,95; 87,77; 82,61; 82,61;4,365072e+01; 20,45; 97,65
Florínia;Marília;Assis;    2758;   231650; 83,992023;58,94029;400;5,18;4,63; 85,96;100,00;100,00;3,024372e+01;  6,15;134,62
Bragança Paulista;Campinas;Bragança Paulista;  164163;  5672443; 34,553724;58,93655;401;3,12;2,79; 95,02; 70,29; 70,29;6,101455e+01; 11,52; 94,67
Pardinho;Sorocaba;Botucatu;    6259;   283090; 45,229270;58,90362;402;2,87;2,50; 75,16; 86,31; 86,31;4,002536e+01; 18,50; 72,24
Pirassununga;Campinas;Limeira;   75474;  2605700; 34,524472;58,89627;403;2,58;3,20; 91,63; 80,81; 80,56;5,641192e+01; 32,26;110,60
Monte Mor;Campinas;Campinas;   57240;  2917997; 50,978284;58,82987;404;2,94;2,67;100,00; 72,60; 72,60;5,982365e+01; 15,18; 66,71
Boituva;Sorocaba;Itapetininga;   57910;  2696866; 46,569953;58,82734;405;2,80;2,43; 84,14; 73,84; 73,84;3,884025e+01; 11,26; 82,72
Joanópolis;Campinas;Bragança Paulista;   12947;   207714; 16,043408;58,80963;406;2,87;2,53; 69,52; 69,88; 69,22;1,148493e+02; -4,93; 81,13
Angatuba;Itapeva;Itapeva;   24634;   963361; 39,106966;58,79903;407;2,94;2,63; 80,24; 82,68; 82,68;4,922742e+01; 18,03; 77,92
Pedreira;Campinas;Campinas;   46598;  1128534; 24,218507;58,79515;408;2,08;2,08; 97,57; 78,74; 61,01;2,793487e+01; 38,16;115,27
Paulínia;Campinas;Campinas;  102499; 35346490;344,847169;58,73094;409;3,47;2,96;100,00; 81,86; 80,28;2,358690e+01; 25,18;110,92
Tapiraí;Sorocaba;Sorocaba;    7973;   145686; 18,272419;58,72954;410;3,14;3,11; 67,68; 93,68; 93,68;6,634935e+00;  5,70; 71,46
Getulina;Bauru;Lins;   11362;   195118; 17,172857;58,72604;411;0,94;0,52; 77,12;100,00; 92,31;2,982410e+00; 63,86; 22,98
Serra Azul;Ribeirão Preto;Ribeirão Preto;   13810;   165106; 11,955539;58,69039;412;2,76;2,45; 56,01; 90,93; 90,93;5,296043e+01; 18,90; 80,97
Poá;São Paulo;São Paulo;  115488;  4216622; 36,511343;58,63875;413;3,88;4,22;100,00; 87,24; 75,51;4,620573e+01; 16,75;136,56
Tanabi;São José do Rio Preto;São José do Rio Preto;   25723;   938476; 36,483925;58,62581;414;1,19;1,15; 90,36;100,00;  0,00;0,000000e+00;  0,00; 64,89
São Luís do Paraitinga;São José dos Campos;Taubaté;   10740;   172868; 16,095717;58,46623;415;2,79;2,51; 57,69; 87,26; 87,26;4,309618e+01;  7,16; 61,03
Nova Aliança;São José do Rio Preto;São José do Rio Preto;    6733;   190535; 28,298678;58,43140;416;1,10;0,63;100,00; 79,85; 59,95;0,000000e+00; 62,46;113,64
Conchas;Sorocaba;Botucatu;   17638;   344263; 19,518256;58,39979;417;2,96;2,58; 71,73; 88,75; 88,75;7,073442e+01; 18,69; 51,38
Caraguatatuba;São José dos Campos;Caraguatatuba;  116786;  2928286; 25,073947;58,27408;418;3,62;3,65; 80,29; 85,63; 85,63;5,845959e+01;  8,93; 90,65
Santo Antônio do Jardim;Campinas;São João da Boa Vista;    6029;   137160; 22,750041;58,23241;419;2,82;2,50; 61,34; 96,32; 96,32;1,238939e+01; 23,93; 77,59
Jacupiranga;Registro;Registro;   17900;   604720; 33,783240;58,21413;420;3,34;3,40; 65,65; 90,91; 85,11;4,196872e+01;  8,68; 99,12
Cananéia;Registro;Registro;   12609;   258772; 20,522801;58,19966;421;3,53;3,55; 84,13; 82,21; 82,21;6,412540e+01;  4,94; 72,79
Barrinha;Ribeirão Preto;Ribeirão Preto;   31921;   468976; 14,691770;58,16738;422;0,63;0,42; 98,89; 79,90;  0,00;0,000000e+00; 30,00;128,65
Olímpia;Barretos;Barretos;   54037;  2072343; 38,350445;58,15972;423;2,12;2,39; 94,44; 80,00; 23,97;1,233159e+02; 21,78;122,47
Ipuã;Franca;São Joaquim da Barra;   15932;   379295; 23,807118;58,08502;424;1,19;0,92;100,00; 60,00; 60,00;1,481031e+01; 53,37;116,74
Divinolândia;Campinas;São João da Boa Vista;   11384;   299836; 26,338370;57,81686;425;2,90;2,55; 74,24; 84,53; 76,01;3,344425e+01; 14,73; 78,26
Iporanga;Itapeva;Itapeva;    4299;    50487; 11,743894;57,78160;426;3,05;3,07; 52,27;100,00;100,00;1,647489e+01;  5,77; 42,78
Pariquera-Açu;Registro;Registro;   19537;   526936; 26,971183;57,77367;427;3,45;3,49; 73,91; 89,89; 89,89;7,171837e+01; 17,65; 83,17
Guararapes;Araçatuba;Araçatuba;   32654;   987256; 30,233846;57,72776;428;0,62;0,77; 92,55; 48,50; 40,12;9,713656e+00; 15,31; 56,37
Riolândia;São José do Rio Preto;Votuporanga;   12086;   226354; 18,728612;57,71782;429;4,59;4,09; 74,04; 91,78; 91,78;5,342308e+01;  5,00;116,47
São Miguel Arcanjo;Sorocaba;Itapetininga;   32910;   676363; 20,551899;57,65252;430;2,85;2,55; 71,50; 77,91; 77,91;4,666387e+01; 17,55; 93,84
Torre de Pedra;Sorocaba;Botucatu;    2395;    27864; 11,634238;57,65205;431;2,88;2,44; 95,29; 59,64; 59,64;1,548469e+02;  9,21; 56,63
Redenção da Serra;São José dos Campos;Taubaté;    3908;    57031; 14,593398;57,55555;432;2,77;2,41; 46,26; 89,67; 89,67;2,649808e+01;  2,83; 49,91
Itanhaém;Santos;Santos;   98629;  1855370; 18,811607;57,54097;433;3,24;3,31; 94,37; 54,02; 54,02;4,288874e+02; -2,34; 49,54
Jumirim;Sorocaba;Sorocaba;    3237;   103933; 32,107816;57,53169;434;1,91;1,45; 97,65; 55,36; 55,36;3,582139e+00; 15,01; 77,84
Itaju;Bauru;Jaú;    3703;   107728; 29,092087;57,48693;435;0,64;0,41; 68,75; 80,95; 80,95;0,000000e+00; 52,63; 54,48
Iguape;Registro;Registro;   30644;   809924; 26,430101;57,40457;436;3,26;3,32; 64,91; 76,29; 76,29;1,049113e+02; -0,83; 82,79
Capivari;Campinas;Piracicaba;   54298;  1877375; 34,575399;57,35916;437;2,78;2,92; 94,50; 80,00; 21,59;1,877133e+02;  9,18;104,54
Pompéia;Marília;Marília;   21674;   825898; 38,105472;57,35910;438;3,49;2,52; 93,04; 80,00; 80,00;2,864211e+01; 27,44; 93,01
Ilha Comprida;Registro;Registro;   10656;   692944; 65,028529;57,33305;439;3,13;3,18; 87,66; 57,17; 57,17;1,853571e+02;-29,77; 85,94
Viradouro;Barretos;Barretos;   18654;   356142; 19,091991;57,26259;440;0,83;0,68; 97,85;100,00; 12,21;0,000000e+00; 39,62; 80,31
Suzano;São Paulo;São Paulo;  290769; 10761082; 37,009042;57,18776;441;3,98;4,16;100,00; 77,45; 54,21;2,010707e+02; 12,38;122,89
Embaúba;Barretos;Barretos;    2476;    54347; 21,949515;57,17563;442;1,92;1,88; 85,02;100,00; 84,72;6,607110e+01; 78,57; 95,21
São Pedro;Campinas;Piracicaba;   34898;   741439; 21,245888;57,15294;443;1,78;1,41; 98,81; 95,00;  8,87;2,338460e+02; 36,00; 51,82
Caçapava;São José dos Campos;São José dos Campos;   92587;  4075123; 44,013987;57,13920;444;3,06;2,67;100,00; 75,14; 74,54;3,454028e+01; 26,48; 76,08
Barão de Antonina;Itapeva;Itapeva;    3406;    79652; 23,385790;57,01666;445;2,73;2,39; 75,39; 77,41; 77,41;2,497883e+01; 12,05; 55,59
Pitangueiras;Ribeirão Preto;Ribeirão Preto;   38889;  1183500; 30,432770;56,99279;446;0,36;0,24; 98,83; 96,44;  0,00;0,000000e+00; 30,00; 41,14
Bebedouro;Barretos;Barretos;   77761;  3260501; 41,929772;56,97680;447;1,83;1,74;100,00; 53,42; 30,26;3,457736e+01; 20,01;127,02
Capela do Alto;Sorocaba;Itapetininga;   20005;   285779; 14,285379;56,93673;448;2,83;2,46; 86,20; 65,98; 65,98;6,816265e+01; 11,40; 67,70
Artur Nogueira;Campinas;Campinas;   51986;  1081069; 20,795387;56,87882;449;2,10;2,09; 90,54; 95,21; 18,39;8,245924e+01; 28,65;104,75
Cajati;Registro;Registro;   28870;  1565335; 54,220125;56,76417;450;3,13;3,15; 79,90; 79,06; 79,06;4,845396e+01; 15,54; 77,61
Guarulhos;São Paulo;São Paulo; 1349113; 55743650; 41,318741;56,72847;451;2,94;2,77; 99,94; 83,05;  7,42;2,190988e+01; 28,08;234,07
Alumínio;Sorocaba;Sorocaba;   18324;  1853577;101,155697;56,68275;452;3,35;2,56; 71,11; 68,92; 62,86;5,990739e+02; 24,11; 58,28
Santa Cruz das Palmeiras;Campinas;São João da Boa Vista;   33455;   501910; 15,002541;56,59055;453;0,85;0,48; 96,89;100,00;  0,00;3,343635e-02; 45,09;110,23
Porto Ferreira;Região Administrativa Central;São Carlos;   55432;  1975018; 35,629564;56,55995;454;2,65;2,32; 98,21; 79,20; 36,37;5,586898e+01; 25,56;109,50
Cabrália Paulista;Bauru;Bauru;    4352;    84475; 19,410616;56,25694;455;1,71;1,68; 88,12; 61,52; 61,52;0,000000e+00; 25,23; 91,21
Barra do Turvo;Registro;Registro;    7781;    78283; 10,060789;56,25668;456;3,30;3,35; 42,57; 86,58; 86,58;1,175885e+02; -1,10; 62,32
Monteiro Lobato;São José dos Campos;São José dos Campos;    4549;    60571; 13,315234;56,12776;457;2,81;2,59; 50,43; 80,13; 80,13;6,626300e+01; -3,11; 37,69
Cafelândia;Bauru;Lins;   17645;   468342; 26,542477;56,08437;458;1,39;1,03; 86,65;100,00;  0,00;0,000000e+00; 28,53;120,73
Cabreúva;Campinas;Jundiaí;   47877;  4294324; 89,694927;55,95398;459;3,14;2,84; 73,92; 71,20; 71,20;2,177400e+02; 23,15; 75,17
