municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Lençóis Paulista;Bauru;Bauru;   67185;  2569703; 38,248166;60,47008;365; 69,328494; 74,76489; 97,76; 87,21; 75,61; 14,3749862; 34,9879089; 29,724334
Laranjal Paulista;Sorocaba;Botucatu;   27890;  1007472; 36,123055;60,41676;366; 49,364791; 59,87461; 90,51; 93,47; 93,47; 24,3029259; 51,7627593; 20,578976
Américo Brasiliense;Região Administrativa Central;Araraquara;   39189;   948260; 24,197096;60,34220;367; 78,947368; 87,61755;100,00; 82,20;  0,00; 30,8663492; 89,5379916; 13,568302
Avanhandava;Araçatuba;Araçatuba;   13112;   428072; 32,647346;60,24103;368; 71,687840; 80,72100; 84,55; 80,00; 80,00; 11,2622831; 53,6464299; 20,060662
Indiana;Presidente Prudente;Presidente Prudente;    4931;    61216; 12,414520;60,21449;369; 91,833031; 99,84326; 85,53; 46,96; 46,96;  0,0000000; 98,9563447; 11,633264
Tremembé;São José dos Campos;Taubaté;   45904;   768606; 16,743770;60,17198;370; 41,379310; 49,84326;100,00; 81,64; 81,64; 20,9132117; 82,3978618; 23,562159
Morungaba;Campinas;Jundiaí;   13232;   424901; 32,111623;60,15569;371; 41,197822; 44,98433; 86,13; 98,37; 98,37; 11,1508490; 75,7795596; 25,262996
Paranapanema;Itapeva;Itapeva;   19730;   593650; 30,088697;59,99820;372; 46,460980; 56,73981; 70,17; 81,95; 81,95; 18,4615941;100,0000000; 24,253244
Águas de São Pedro;Campinas;Piracicaba;    3268;   125146; 38,294370;59,93287;373; 33,393829; 44,82759; 97,19; 95,90; 95,90; 33,0858296; 60,9901998; 18,175536
Panorama;Presidente Prudente;Dracena;   15619;   270175; 17,297842;59,86468;374; 78,584392; 78,52665; 96,22; 49,94; 49,94;  0,0000000; 99,8981800; 25,808186
Louveira;Campinas;Jundiaí;   45922; 13805962;300,639389;59,86127;375; 62,431942; 80,40752; 96,54; 70,80; 70,80; 22,0836044; 54,2191676; 21,607924
Cajobi;Barretos;Barretos;   10444;   152695; 14,620356;59,85711;376; 80,762250; 86,20690;100,00;100,00;  0,00;  0,0000000; 85,9106529; 25,977117
Herculândia;Marília;Tupã;    9397;   302366; 32,176865;59,84932;377; 97,096189; 96,86520; 91,09; 39,50; 39,50;  0,0000000;100,0000000; 14,743147
Mirandópolis;Araçatuba;Andradina;   29315;   616045; 21,014668;59,79689;378; 80,399274; 83,22884; 98,41; 80,85; 69,70;  6,7324038; 25,6713758; 33,383245
Suzanápolis;Araçatuba;Andradina;    3836;   260620; 67,940563;59,73686;379; 86,932849; 87,30408; 66,48; 56,69; 56,69;  8,2370152;100,0000000; 15,560931
Cosmópolis;Campinas;Campinas;   69086;  1575661; 22,807240;59,72212;380; 73,502722; 83,69906; 94,37; 98,31;  0,00; 10,5855307; 61,7156676; 55,593949
Potim;São José dos Campos;Guaratinguetá;   23360;   226293;  9,687200;59,71313;381; 92,377495; 85,73668; 75,83; 79,38;  0,00;  0,0000000; 80,9469263; 63,433925
Marabá Paulista;Presidente Prudente;Presidente Prudente;    5611;   120632; 21,499198;59,71252;382; 50,453721; 60,18809; 37,12;100,00;100,00;  4,6601675; 99,1090747; 26,169085
Ipeúna;Campinas;Rio Claro;    7177;   697972; 97,251219;59,66313;383; 60,072595; 69,90596; 86,07; 69,27; 69,27; 15,2944287; 62,6320479; 44,789987
Santa Bárbara d'Oeste;Campinas;Campinas;  191889;  5494890; 28,635774;59,64925;384; 59,528131; 62,85266;100,00; 99,59; 55,39; 37,4037863; 34,9242714; 27,505183
Itararé;Itapeva;Itapeva;   50379;   875364; 17,375573;59,59583;385; 52,087114; 61,91223; 89,36; 93,02; 53,86; 23,8331711; 80,7560137; 21,938109
Pilar do Sul;Sorocaba;Sorocaba;   28718;   640684; 22,309492;59,59238;386; 49,364791; 59,09091; 88,84; 73,64; 73,64; 17,7581173; 88,4434262; 25,961760
Palmital;Marília;Assis;   22196;   690855; 31,125203;59,58875;387; 65,517241; 68,65204; 91,70; 73,24; 73,24; 11,7210240; 66,0175640; 26,622130
Santo Antônio de Posse;Campinas;Campinas;   22801;  1043905; 45,783299;59,50904;388; 73,502722; 78,52665; 99,63; 86,12; 68,89;  9,6662363; 38,8697976; 20,866928
Brodowski;Ribeirão Preto;Ribeirão Preto;   24092;   639372; 26,538768;59,47748;389; 58,257713; 71,31661;100,00; 84,55; 84,55;  0,0000000; 47,9317806; 29,213699
Bom Sucesso de Itararé;Itapeva;Itapeva;    3888;    52971; 13,624228;59,47278;390; 51,724138; 61,59875; 58,04; 95,62; 95,62; 14,7393573; 79,3814433; 19,058589
Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;  682302; 35315843; 51,759841;59,47170;391; 46,460980; 42,63323; 99,19;100,00; 99,03;  5,8789445; 29,9350897; 52,645320
Garça;Marília;Marília;   44582;  1159125; 25,999843;59,45598;392; 47,186933; 50,62696; 90,90; 79,99; 79,99; 23,9822723; 62,2629502; 40,708746
Itapeva;Itapeva;Itapeva;   93570;  2371573; 25,345442;59,44097;393; 49,364791; 58,77743; 92,06; 82,04; 79,93; 16,4298858; 65,1011837; 31,824464
Valparaíso;Araçatuba;Araçatuba;   25632;   989934; 38,621021;59,29978;394; 66,424682; 75,86207;100,00; 80,00; 80,00;  9,0765598; 33,7406135; 29,294325
Jundiaí;Campinas;Jundiaí;  409497; 41227953;100,679499;59,18210;395; 31,578947; 29,78056; 99,07;100,00;100,00; 17,3102463; 67,7357770; 27,981264
Tietê;Sorocaba;Sorocaba;   41022;  1739795; 42,411267;59,17800;396; 67,695100; 74,13793; 90,91; 99,80; 59,88;  8,5562717; 51,1900216; 21,254703
Marapoama;São José do Rio Preto;Catanduva;    2949;   173054; 58,682265;59,04524;397; 87,840290;100,00000; 97,36;100,00;  0,00;  1,9778356; 49,0899835; 36,093834
Indaiatuba;Campinas;Campinas;  239602; 13489932; 56,301417;59,02220;398; 47,912886; 49,05956; 98,36; 85,00; 44,04; 35,0055322; 76,0722922; 36,727329
Itatiba;Campinas;Jundiaí;  116503;  5566364; 47,778718;58,95162;399; 44,283122; 53,76176; 87,77; 82,61; 82,61; 17,9373479; 73,9722540; 28,668510
Florínia;Marília;Assis;    2758;   231650; 83,992023;58,94029;400;  8,166969; 27,42947; 85,96;100,00;100,00; 14,9306976; 92,1725850; 42,862628
Bragança Paulista;Campinas;Bragança Paulista;  164163;  5672443; 34,553724;58,93655;401; 45,553539; 56,26959; 95,02; 70,29; 70,29; 21,2069990; 85,3379152; 27,524380
Pardinho;Sorocaba;Botucatu;    6259;   283090; 45,229270;58,90362;402; 50,090744; 60,81505; 75,16; 86,31; 86,31; 17,1763209; 76,4541173; 18,912693
Pirassununga;Campinas;Limeira;   75474;  2605700; 34,524472;58,89627;403; 55,353902; 49,84326; 91,63; 80,81; 80,56; 20,3914430; 58,9410717; 33,640482
Monte Mor;Campinas;Campinas;   57240;  2917997; 50,978284;58,82987;404; 48,820327; 58,15047;100,00; 72,60; 72,60; 20,9990181; 80,6796487; 16,789526
Boituva;Sorocaba;Itapetininga;   57910;  2696866; 46,569953;58,82734;405; 51,361162; 61,91223; 84,14; 73,84; 73,84; 16,9201243; 85,6688303; 22,936343
Joanópolis;Campinas;Bragança Paulista;   12947;   207714; 16,043408;58,80963;406; 50,090744; 60,34483; 69,52; 69,88; 69,22; 29,0955566;100,0000000; 22,325885
Angatuba;Itapeva;Itapeva;   24634;   963361; 39,106966;58,79903;407; 48,820327; 58,77743; 80,24; 82,68; 82,68; 19,0487322; 77,0523100; 21,093450
Pedreira;Campinas;Campinas;   46598;  1128534; 24,218507;58,79515;408; 64,428312; 67,39812; 97,57; 78,74; 61,01; 14,3494701; 51,4318442; 35,433464
Paulínia;Campinas;Campinas;  102499; 35346490;344,847169;58,73094;409; 39,201452; 53,60502;100,00; 81,86; 80,28; 13,1855416; 67,9521446; 33,763342
Tapiraí;Sorocaba;Sorocaba;    7973;   145686; 18,272419;58,72954;410; 45,190563; 51,25392; 67,68; 93,68; 93,68;  6,9932791; 92,7453226; 18,613223
Getulina;Bauru;Lins;   11362;   195118; 17,172857;58,72604;411; 85,117967; 91,84953; 77,12;100,00; 92,31;  4,6886324; 18,7221586;  0,000000
Serra Azul;Ribeirão Preto;Ribeirão Preto;   13810;   165106; 11,955539;58,69039;412; 52,087114; 61,59875; 56,01; 90,93; 90,93; 19,7577855; 75,9450172; 22,264455
Poá;São Paulo;São Paulo;  115488;  4216622; 36,511343;58,63875;413; 31,760436; 33,85580;100,00; 87,24; 75,51; 18,4548464; 78,6814306; 43,607464
Tanabi;São José do Rio Preto;São José do Rio Preto;   25723;   938476; 36,483925;58,62581;414; 80,580762; 81,97492; 90,36;100,00;  0,00;  0,0000000;100,0000000; 16,090762
São Luís do Paraitinga;São José dos Campos;Taubaté;   10740;   172868; 16,095717;58,46623;415; 51,542650; 60,65831; 57,69; 87,26; 87,26; 17,8230459; 90,8871070; 14,608769
Nova Aliança;São José do Rio Preto;São José do Rio Preto;    6733;   190535; 28,298678;58,43140;416; 82,214156; 90,12539;100,00; 79,85; 59,95;  0,0000000; 20,5040092; 34,807648
Conchas;Sorocaba;Botucatu;   17638;   344263; 19,518256;58,39979;417; 48,457350; 59,56113; 71,73; 88,75; 88,75; 22,8337857; 76,2122948; 10,903786
Caraguatatuba;São José dos Campos;Caraguatatuba;  116786;  2928286; 25,073947;58,27408;418; 36,479129; 42,78997; 80,29; 85,63; 85,63; 20,7582350; 88,6343388; 25,980957
Santo Antônio do Jardim;Campinas;São João da Boa Vista;    6029;   137160; 22,750041;58,23241;419; 50,998185; 60,81505; 61,34; 96,32; 96,32;  9,5562490; 69,5430826; 20,966751
Jacupiranga;Registro;Registro;   17900;   604720; 33,783240;58,21413;420; 41,560799; 46,70846; 65,65; 90,91; 85,11; 17,5883609; 88,9525264; 29,232896
Cananéia;Registro;Registro;   12609;   258772; 20,522801;58,19966;421; 38,112523; 44,35737; 84,13; 82,21; 82,21; 21,7409027; 93,7126130; 19,123858
Barrinha;Ribeirão Preto;Ribeirão Preto;   31921;   468976; 14,691770;58,16738;422; 90,744102; 93,41693; 98,89; 79,90;  0,00;  0,0000000; 61,8174876; 40,570529
Olímpia;Barretos;Barretos;   54037;  2072343; 38,350445;58,15972;423; 63,702359; 62,53918; 94,44; 80,00; 23,97; 30,1489370; 72,2794960; 38,197804
Ipuã;Franca;São Joaquim da Barra;   15932;   379295; 23,807118;58,08502;424; 80,580762; 85,57994;100,00; 60,00; 60,00; 10,4482752; 32,0733104; 35,997850
Divinolândia;Campinas;São João da Boa Vista;   11384;   299836; 26,338370;57,81686;425; 49,546279; 60,03135; 74,24; 84,53; 76,01; 15,7008527; 81,2523864; 21,223988
Iporanga;Itapeva;Itapeva;    4299;    50487; 11,743894;57,78160;426; 46,823956; 51,88088; 52,27;100,00;100,00; 11,0198031; 92,6562301;  7,601935
Pariquera-Açu;Registro;Registro;   19537;   526936; 26,971183;57,77367;427; 39,564428; 45,29781; 73,91; 89,89; 89,89; 22,9920525; 77,5359552; 23,109115
Guararapes;Araçatuba;Araçatuba;   32654;   987256; 30,233846;57,72776;428; 90,925590; 87,93103; 92,55; 48,50; 40,12;  8,4616271; 80,5141912; 12,819627
Riolândia;São José do Rio Preto;Votuporanga;   12086;   226354; 18,728612;57,71782;429; 18,874773; 35,89342; 74,04; 91,78; 91,78; 19,8438977; 93,6362479; 35,894187
São Miguel Arcanjo;Sorocaba;Itapetininga;   32910;   676363; 20,551899;57,65252;430; 50,453721; 60,03135; 71,50; 77,91; 77,91; 18,5461126; 77,6632302; 27,205713
Torre de Pedra;Sorocaba;Botucatu;    2395;    27864; 11,634238;57,65205;431; 49,909256; 61,75549; 95,29; 59,64; 59,64; 33,7842061; 88,2779687; 12,919450
Redenção da Serra;São José dos Campos;Taubaté;    3908;    57031; 14,593398;57,55555;432; 51,905626; 62,22571; 46,26; 89,67; 89,67; 13,9755754; 96,3981163; 10,339400
Itanhaém;Santos;Santos;   98629;  1855370; 18,811607;57,54097;433; 43,375681; 48,11912; 94,37; 54,02; 54,02; 56,2256066;100,0000000; 10,197343
Jumirim;Sorocaba;Sorocaba;    3237;   103933; 32,107816;57,53169;434; 67,513612; 77,27273; 97,65; 55,36; 55,36;  5,1384688; 80,8960163; 21,062735
Itaju;Bauru;Jaú;    3703;   107728; 29,092087;57,48693;435; 90,562613; 93,57367; 68,75; 80,95; 80,95;  0,0000000; 33,0151457; 12,093988
Iguape;Registro;Registro;   30644;   809924; 26,430101;57,40457;436; 43,012704; 47,96238; 64,91; 76,29; 76,29; 27,8082559;100,0000000; 22,963219
Capivari;Campinas;Piracicaba;   54298;  1877375; 34,575399;57,35916;437; 51,724138; 54,23197; 94,50; 80,00; 21,59; 37,1971841; 88,3161512; 31,313829
Pompéia;Marília;Marília;   21674;   825898; 38,105472;57,35910;438; 38,838475; 60,50157; 93,04; 80,00; 80,00; 14,5299807; 65,0757286; 26,887046
Ilha Comprida;Registro;Registro;   10656;   692944; 65,028529;57,33305;439; 45,372051; 50,15674; 87,66; 57,17; 57,17; 36,9629967;100,0000000; 24,172618
Viradouro;Barretos;Barretos;   18654;   356142; 19,091991;57,26259;440; 87,114338; 89,34169; 97,85;100,00; 12,21;  0,0000000; 49,5736286; 22,011057
Suzano;São Paulo;São Paulo;  290769; 10761082; 37,009042;57,18776;441; 29,945554; 34,79624;100,00; 77,45; 54,21; 38,4978918; 84,2433499; 38,359057
Embaúba;Barretos;Barretos;    2476;    54347; 21,949515;57,17563;442; 67,332123; 70,53292; 85,02;100,00; 84,72; 22,0682700;  0,0000000; 27,731705
São Pedro;Campinas;Piracicaba;   34898;   741439; 21,245888;57,15294;443; 69,872958; 77,89969; 98,81; 95,00;  8,87; 41,5171427; 54,1809851; 11,072717
Caçapava;São José dos Campos;São José dos Campos;   92587;  4075123; 44,013987;57,13920;444; 46,642468; 58,15047;100,00; 75,14; 74,54; 15,9560517; 66,2975690; 20,387008
Barão de Antonina;Itapeva;Itapeva;    3406;    79652; 23,385790;57,01666;445; 52,631579; 62,53918; 75,39; 77,41; 77,41; 13,5690224; 84,6633575; 12,520157
Pitangueiras;Ribeirão Preto;Ribeirão Preto;   38889;  1183500; 30,432770;56,99279;446; 95,644283; 96,23824; 98,83; 96,44;  0,00;  0,0000000; 61,8174876;  6,972280
Bebedouro;Barretos;Barretos;   77761;  3260501; 41,929772;56,97680;447; 68,965517; 72,72727;100,00; 53,42; 30,26; 15,9646138; 74,5322642; 39,944713
Capela do Alto;Sorocaba;Itapetininga;   20005;   285779; 14,285379;56,93673;448; 50,816697; 61,44201; 86,20; 65,98; 65,98; 22,4148455; 85,4906453; 17,169623
Artur Nogueira;Campinas;Campinas;   51986;  1081069; 20,795387;56,87882;449; 64,065336; 67,24138; 90,54; 95,21; 18,39; 24,6537052; 63,5357006; 31,394456
Cajati;Registro;Registro;   28870;  1565335; 54,220125;56,76417;450; 45,372051; 50,62696; 79,90; 79,06; 79,06; 18,8984916; 80,2214586; 20,974430
Guarulhos;São Paulo;São Paulo; 1349113; 55743650; 41,318741;56,72847;451; 48,820327; 56,58307; 99,94; 83,05;  7,42; 12,7081543; 64,2611684; 81,045074
Alumínio;Sorocaba;Sorocaba;   18324;  1853577;101,155697;56,68275;452; 41,379310; 59,87461; 71,11; 68,92; 62,86; 66,4511856; 69,3139875; 13,552945
Santa Cruz das Palmeiras;Campinas;São João da Boa Vista;   33455;   501910; 15,002541;56,59055;453; 86,751361; 92,47649; 96,89;100,00;  0,00;  0,4964459; 42,6116838; 33,498426
Porto Ferreira;Região Administrativa Central;São Carlos;   55432;  1975018; 35,629564;56,55995;454; 54,083485; 63,63636; 98,21; 79,20; 36,37; 20,2930773; 67,4684994; 33,218152
Cabrália Paulista;Bauru;Bauru;    4352;    84475; 19,410616;56,25694;455; 71,143376; 73,66771; 88,12; 61,52; 61,52;  0,0000000; 67,8885071; 26,195961
Barra do Turvo;Registro;Registro;    7781;    78283; 10,060789;56,25668;456; 42,286751; 47,49216; 42,57; 86,58; 86,58; 29,4404858;100,0000000; 15,104047
Monteiro Lobato;São José dos Campos;São José dos Campos;    4549;    60571; 13,315234;56,12776;457; 51,179673; 59,40439; 50,43; 80,13; 80,13; 22,1002948;100,0000000;  5,647700
Cafelândia;Bauru;Lins;   17645;   468342; 26,542477;56,08437;458; 76,950998; 83,85580; 86,65;100,00;  0,00;  0,0000000; 63,6884307; 37,529755
Cabreúva;Campinas;Jundiaí;   47877;  4294324; 89,694927;55,95398;459; 45,190563; 55,48589; 73,92; 71,20; 71,20; 40,0619105; 70,5358279; 20,037626
Mogi Mirim;Campinas;Campinas;   92365;  4456895; 48,253072;55,93746;460; 41,742287; 46,55172; 93,57; 90,51; 88,33; 15,2805554; 46,4172076; 25,097904
Serrana;Ribeirão Preto;Ribeirão Preto;   43790;   941115; 21,491551;55,86250;461; 84,029038; 90,43887;100,00;100,00;  0,00;  0,0000000; 19,9058165; 52,526300
Presidente Venceslau;Presidente Prudente;Presidente Prudente;   39544;   721893; 18,255437;55,81500;462; 63,339383; 66,92790;100,00; 64,98; 25,98;  7,4870487; 88,4306987; 29,374952
Iaras;Sorocaba;Avaré;    8484;   124727; 14,701438;55,79620;463; 51,905626; 61,12853; 33,74; 84,76; 84,76;  6,2331619; 91,2307496; 32,611533
Ibirarema;Marília;Assis;    7540;   180413; 23,927454;55,78772;464; 57,713249; 66,30094; 92,37; 84,92; 84,92;  0,0000000; 34,8606338; 25,216924
Amparo;Campinas;Bragança Paulista;   71193;  4358991; 61,227803;55,72805;465; 68,239564; 74,45141; 78,71; 87,79; 51,06; 11,5508126; 48,8863434; 25,136297
Jacareí;São José dos Campos;São José dos Campos;  229851; 11696354; 50,886679;55,72510;466; 40,653358; 47,02194; 99,13; 78,74; 59,39; 23,9943444; 63,1538755; 33,717269
Rafard;Campinas;Piracicaba;    9054;   326043; 36,010934;55,67059;467; 70,780399; 76,95925;100,00; 91,36;  0,00; 13,6868072; 87,3106784;  5,267603
Lavrinhas;São José dos Campos;Cruzeiro;    7150;   109607; 15,329650;55,60182;468; 53,539020; 66,92790; 95,09; 63,33; 49,33; 30,2481774; 78,5287005;  7,820779
Monte Azul Paulista;Barretos;Barretos;   19234;   562393; 29,239524;55,54226;469; 69,691470; 72,25705; 95,96; 85,00; 29,75;  7,8152571; 56,0519282; 27,812332
Eldorado;Registro;Registro;   15436;   362009; 23,452254;55,31795;470; 43,557169; 49,05956; 48,55; 88,74; 88,67; 21,3047110; 86,7633957; 15,898794
Salto de Pirapora;Sorocaba;Sorocaba;   44397;  1633062; 36,783161;55,06922;471; 48,094374; 58,15047;100,00; 64,05; 64,05; 19,6638278; 58,8901616; 27,654918
Barra Bonita;Bauru;Jaú;   36331;  1387795; 38,198646;54,87998;472; 56,079855; 74,76489;100,00; 80,00; 20,00; 15,6472203; 63,6375207; 28,910389
Santa Cruz da Conceição;Campinas;Limeira;    4409;   117879; 26,735995;54,84491;473; 76,043557; 78,99687; 70,61; 55,42; 55,42;  0,0000000; 77,8159603; 24,452891
Itapirapuã Paulista;Itapeva;Itapeva;    4186;    38226;  9,131868;54,81043;474; 50,453721; 59,71787; 59,13; 69,25; 69,25; 21,4197321; 93,2289678; 16,033172
São Paulo;São Paulo;São Paulo;12106920;699288352; 57,759393;54,71452;475; 25,952813; 32,60188; 99,30; 74,23; 64,66; 32,4190199; 69,5176276; 39,034785
Charqueada;Campinas;Piracicaba;   16772;   350913; 20,922549;54,63646;476; 49,183303; 58,77743; 99,65; 65,74; 62,35; 21,0324002; 62,8356879; 17,522844
Guaratinguetá;São José dos Campos;Guaratinguetá;  120417;  5277694; 43,828479;54,60590;477; 62,976407; 70,06270; 99,46; 93,46; 28,59;  2,6816988; 54,9446354; 24,671735
Socorro;Campinas;Bragança Paulista;   40220;   822933; 20,460791;54,57894;478; 49,727768; 59,87461; 60,05; 71,35; 71,08; 17,7262831; 84,2051674; 22,617676
São Bento do Sapucaí;São José dos Campos;Taubaté;   10895;   196195; 18,007802;54,55850;479; 48,638838; 59,87461; 70,68; 71,17; 57,11; 15,3187586;100,0000000; 13,675804
Juquiá;Registro;Registro;   19192;   361626; 18,842539;54,44315;480; 41,560799; 48,43260; 68,30; 74,95; 72,26; 24,9962452; 80,2087311; 24,836827
Cruzeiro;São José dos Campos;Cruzeiro;   81724;  2136729; 26,145673;54,39883;481; 76,225045; 84,63950;100,00;100,00;  0,00;  4,4757016; 30,3932799; 39,457114
Salesópolis;São Paulo;São Paulo;   16903;   200622; 11,869017;54,37233;482; 48,457350; 53,44828; 62,38; 67,23; 65,25; 32,1614718; 93,6235204; 12,428012
Itupeva;Campinas;Jundiaí;   57031;  6124416;107,387491;54,33693;483; 37,568058; 49,84326; 78,70; 72,30; 72,30; 18,3096967; 79,1905307; 26,483913
Taquarivaí;Itapeva;Itapeva;    5715;   242700; 42,467192;54,32988;484; 43,920145; 52,97806; 85,70; 60,63; 60,63; 14,2489893; 94,9853634; 21,546495
Neves Paulista;São José do Rio Preto;São José do Rio Preto;    8999;   219695; 24,413268;54,30902;485; 77,495463; 81,66144; 90,24; 42,67; 42,67;  8,8522311; 39,0861652; 51,796821
Diadema;São Paulo;São Paulo;  417869; 13412703; 32,097866;53,99456;486; 37,023593; 42,00627;100,00; 75,82; 37,47; 16,5420569; 78,5541555; 44,540428
Ribeirão Grande;Itapeva;Itapeva;    7697;   296224; 38,485644;53,93132;487; 50,635209; 59,87461; 91,34; 51,71; 51,71; 12,7929162;100,0000000; 13,387852
Águas de Santa Bárbara;Sorocaba;Avaré;    6009;   148264; 24,673656;53,91691;488; 49,364791; 58,46395; 74,80; 74,46; 74,46; 12,0995302; 69,0085274; 18,678492
